price;seller;fue;gear;miles;year_model;type;wheels;hpower;color;engine;date_traffic;brand;model;region;;
69000;Privat;Bensin;Manuell;20750;1987;Sedan;Tvåhjulsdriven;113;Blå;2316;1987-06-12;Volvo;244;Blekinge;;
199000;Privat;Diesel;Automat;25453;2018;Kombi;Tvåhjulsdriven;191;Vit;1969;2018-02-08;Volvo;V90;Blekinge;;
66000;Privat;Diesel;Automat;42000;2008;Kombi;Tvåhjulsdriven;164;Grå;2400;2008-05-02;Volvo;V70;Blekinge;;
74900;Företag;Diesel;Manuell;19072;2011;Kombi;Tvåhjulsdriven;116;Ljusgrå;1560;2010-12-17;Volvo;V50;Blekinge;;
369500;Företag;Miljöbränsle/Hybrid;Automat;5761;2022;SUV;Tvåhjulsdriven;214;Grå;1477;2022-02-07;Volvo;XC40;Blekinge;;
19900;Företag;Bensin;Manuell;31813;2003;Sedan;Tvåhjulsdriven;141;Ljusgrå;2435;2003-01-29;Volvo;S60;Blekinge;;
44800;Företag;Miljöbränsle/Hybrid;Manuell;27707;2008;Kombi;Tvåhjulsdriven;146;Vit;1999;2008-03-03;Volvo;V70;Blekinge;;
110000;Privat;Bensin;Manuell;18616;2013;Kombi;Tvåhjulsdriven;180;Svart;1596;2013-05-03;Volvo;V70;Blekinge;;
254800;Företag;Diesel;Automat;14224;2019;Kombi;Fyrhjulsdriven;191;Svart;1969;2019-12-17;Volvo;V60 Cross Country;Blekinge;;
499500;Företag;Miljöbränsle/Hybrid;Automat;5600;2022;SUV;Fyrhjulsdriven;355;Mörkblå;1969;2022-03-17;Volvo;XC60;Blekinge;;
90000;Privat;Diesel;Manuell;24508;2011;Kombi;Tvåhjulsdriven;164;Röd;1984;2011-05-27;Volvo;V70;Blekinge;;
21000;Privat;Bensin;Automat;28700;2001;Kombi;Tvåhjulsdriven;200;Grå;2435;2001-06-21;Volvo;V70;Blekinge;;
80000;Privat;Diesel;Manuell;11257;2012;Kombi;Tvåhjulsdriven;116;Grå;1560;2012-02-17;Volvo;V50;Blekinge;;
189500;Företag;Diesel;Automat;22025;2016;SUV;Tvåhjulsdriven;203;Vit;1969;2015-06-17;Volvo;XC70;Blekinge;;
299000;Företag;Diesel;Automat;11583;2019;SUV;Tvåhjulsdriven;191;Ljusblå;1969;2019-03-06;Volvo;XC60;Blekinge;;
54000;Privat;Diesel;Automat;29150;2008;Kombi;Tvåhjulsdriven;164;Brun;2400;2008-05-06;Volvo;V70;Blekinge;;
148000;Privat;Diesel;Automat;14835;2016;Halvkombi;Tvåhjulsdriven;120;Svart;1969;2016-04-27;Volvo;V40;Blekinge;;
23000;Privat;Bensin;Manuell;31927;2005;Kombi;Tvåhjulsdriven;170;Grå;2435;2005-04-22;Volvo;V70;Blekinge;;
99900;Företag;Diesel;Manuell;23513;2014;Halvkombi;Tvåhjulsdriven;150;Vit;1984;2013-12-17;Volvo;V40;Blekinge;;
294500;Företag;Bensin;Automat;9831;2021;Kombi;Tvåhjulsdriven;165;Mörkgrå;1969;2020-12-15;Volvo;V60;Blekinge;;
128000;Företag;Diesel;Manuell;14745;2016;Halvkombi;Tvåhjulsdriven;120;Vit;1969;2016-04-29;Volvo;V40;Blekinge;;
649500;Företag;Miljöbränsle/Hybrid;Automat;3685;2024;SUV;Fyrhjulsdriven;463;Grå;1969;2023-10-12;Volvo;XC60;Blekinge;;
649500;Företag;Miljöbränsle/Hybrid;Automat;3357;2024;SUV;Fyrhjulsdriven;463;Mörkblå;1969;2023-10-11;Volvo;XC60;Blekinge;;
79000;Privat;Diesel;Manuell;24885;2011;Sedan;Tvåhjulsdriven;164;Röd;1984;2011-04-07;Volvo;S60;Blekinge;;
409000;Företag;Miljöbränsle/Hybrid;Automat;7972;2023;Kombi;Fyrhjulsdriven;350;Svart;1969;2022-10-07;Volvo;V90;Blekinge;;
39900;Företag;Diesel;Manuell;29899;2012;Kombi;Tvåhjulsdriven;116;Grå;1560;2011-07-15;Volvo;V50;Blekinge;;
159000;Privat;Diesel;Manuell;22264;2015;SUV;Tvåhjulsdriven;181;Svart;1969;2014-09-04;Volvo;XC60;Blekinge;;
429500;Företag;Diesel;Automat;4528;2023;Kombi;Tvåhjulsdriven;200;Grå;1969;2023-06-19;Volvo;V60;Blekinge;;
284500;Företag;Bensin;Automat;11357;2021;Kombi;Tvåhjulsdriven;165;Mörkbrun;1969;2021-02-10;Volvo;V60;Blekinge;;
318800;Företag;Diesel;Automat;7387;2020;SUV;Fyrhjulsdriven;191;Svart;1969;2019-12-18;Volvo;XC40;Blekinge;;
254900;Företag;Bensin;Manuell;4538;2022;SUV;Tvåhjulsdriven;130;Svart;1477;2021-09-20;Volvo;XC 40;Skåne;;
298000;Företag;Diesel;Automat;16621;2020;Kombi;Fyrhjulsdriven;191;Silver;1969;2019-12-20;Volvo;V90;Skåne;;
25000;Privat ;Bensin;Manuell;34573;2004;Kombi;Tvåhjulsdriven;170;Grå;2435;2004-03-03;Volvo;V70;Skåne;;
79500;Företag;Miljöbränsle/Hybrid;Manuell;19800;2010;Kombi;Tvåhjulsdriven;232;Grå;2521;2009-06-17;Volvo;V70;Skåne;;
99900;Företag;Diesel;Automat;27599;2010;Kombi;Fyrhjulsdriven;206;Ljusbrun;NA;2014-05-16;Volvo;XC70;Skåne;;
330000;Privat ;El;Automat;4700;2022;SUV;Tvåhjulsdriven;232;Blå;NA;2022-04-14;Volvo;XC40;Skåne;;
6000;Privat ;Miljöbränsle/Hybrid;Manuell;22404;2006;Sedan;Tvåhjulsdriven;141;Röd;2435;2006-06-02;Volvo;S60;Skåne;;
44900;Företag;Bensin;Automat;30024;1988;Sedan;Tvåhjulsdriven;116;Röd;NA;1988-11-21;Volvo;740;Skåne;;
74900;Företag;Diesel;Manuell;26202;2012;Kombi;Tvåhjulsdriven;116;Ljusgrå;1560;2011-12-07;Volvo;V60;Skåne;;
215000;Företag;Bensin;Automat;11000;2013;Sedan;Fyrhjulsdriven;330;Blå;2953;2013-03-13;Volvo;S60;Skåne;;
479000;Företag;Miljöbränsle/Hybrid;Automat;13464;2019;SUV;Fyrhjulsdriven;304;Grå;1969;2018-09-17;Volvo;XC90;Skåne;;
150000;Privat;Bensin;Manuell;20045;1956;NA;NA;NA;NA;NA;NA;Volvo;PV444;Skåne;;
475000;Privat ;Miljöbränsle/Hybrid;Automat;5951;2020;SUV;Fyrhjulsdriven;422;Svart;1969;2020-07-10;Volvo;XC60;Skåne;;
114900;Företag;Bensin;Automat;15703;2013;Kombi;Tvåhjulsdriven;180;Vit;1596;2013-01-07;Volvo;V70;Skåne;;
269500;Företag;Bensin;Manuell;4963;2021;SUV;Tvåhjulsdriven;131;Svart;1477;2021-03-31;Volvo;XC40;Skåne;;
279900;Företag;Miljöbränsle/Hybrid;Automat;8755;2021;Kombi;Fyrhjulsdriven;340;Svart;1969;2021-03-31;Volvo;V60;Skåne;;
289900;Företag;Diesel;Automat;16550;2019;SUV;Fyrhjulsdriven;191;Silver;1969;2019-03-04;Volvo;XC60;Skåne;;
369900;Företag;Miljöbränsle/Hybrid;Automat;5963;2021;Kombi;Fyrhjulsdriven;344;Grå;1969;2020-11-24;Volvo;V90;Skåne;;
469500;Företag;El;Automat;855;2024;SUV;Tvåhjulsdriven;256;Grön;NA;2023-10-10;Volvo;C40;Skåne;;
224900;Företag;Diesel;Automat;27800;2020;SUV;Fyrhjulsdriven;198;Vit;1969;2019-08-01;Volvo;XC60;Skåne;;
334900;Företag;Miljöbränsle/Hybrid;Automat;15186;2022;Kombi;Fyrhjulsdriven;340;Vit;1969;2021-10-15;Volvo;V60;Skåne;;
397800;Företag;Miljöbränsle/Hybrid;Automat;12760;2021;SUV;Fyrhjulsdriven;251;Vit;1969;2020-09-15;Volvo;XC60;Skåne;;
409900;Företag;Miljöbränsle/Hybrid;Automat;7134;2023;Kombi;Fyrhjulsdriven;253;Svart;1969;2022-09-01;Volvo;V90;Skåne;;
499900;Företag;Miljöbränsle/Hybrid;Automat;3184;2022;SUV;Fyrhjulsdriven;355;Svart;1969;2022-03-04;Volvo;XC60;Skåne;;
339500;Företag;Bensin;Automat;5975;2021;SUV;Tvåhjulsdriven;200;Svart;1969;2020-09-03;Volvo;XC40;Skåne;;
229000;Privat;Bensin;Automat;16389;2014;Kombi;Fyrhjulsdriven;305;Svart;2953;2013-12-30;Volvo;V60;Skåne;;
159900;Företag;Diesel;Automat;24527;2018;Kombi;Tvåhjulsdriven;191;Grå;1969;2017-10-10;Volvo;V90;Skåne;;
99500;Företag;Bensin;Automat;22500;2013;Kombi;Tvåhjulsdriven;180;Vit;1596;2013-01-07;Volvo;V70;Skåne;;
499500;Företag;El;Automat;5;2025;SUV;Tvåhjulsdriven;256;Grå;NA;2024-09-27;Volvo;EX40;Skåne;;
189500;Företag;Bensin;Manuell;9979;2017;Sedan;Tvåhjulsdriven;154;Svart;1969;2017-05-31;Volvo;S60;Skåne;;
75000;Företag;Diesel;Manuell;NA;2016;SUV;Tvåhjulsdriven;150;Vit;1969;2015-05-29;Volvo;XC60;Skåne;;
414900;Företag;Diesel;Automat;10400;2018;SUV;Fyrhjulsdriven;236;Mörkgrå;1969;2019-01-22;Volvo;XC90;Skåne;;
339900;Företag;Miljöbränsle/Hybrid;Automat;10003;2021;SUV;Tvåhjulsdriven;214;Svart;1477;2021-03-09;Volvo;XC40;Skåne;;
109000;Företag;Diesel;Manuell;20200;2012;Kombi;Tvåhjulsdriven;164;Silver;1984;2011-11-24;Volvo;V60;Skåne;;
139900;Företag;Diesel;Automat;17162;2013;Halvkombi;Tvåhjulsdriven;150;Grå;1984;2013-08-19;Volvo;V40;Skåne;;
145900;Företag;Diesel;Automat;19900;2016;Kombi;Tvåhjulsdriven;150;Grå;1969;2015-12-21;Volvo;V70;Skåne;;
79900;Företag;Bensin;Manuell;17899;2012;Sedan;Tvåhjulsdriven;150;Ljusbrun;1596;2012-01-13;Volvo;S60;Skåne;;
